geneid	start	end	synonyms
yfaS	2329798	2334402	['b2227', 'b2228', 'ECK2220', 'yfaR']
yfaT	2334336	2334959	['ECK2221']
yfaA	2334956	2336644	['ECK2222', 'pufY']
gyrA	2336793	2339420	['ECK2223', 'hisW', 'nalA', 'nfxA', 'norA', 'parD']
ubiG	2339567	2340289	['ECK2224', 'pufX', 'yfaB']
yfaL	2340417	2344169	['ECK2225', 'yfaF', 'yfaJ', 'yfaK']
ypaB	2344594	2344737	['ECK4414']
nrdA	2344865	2347150	['dnaF', 'ECK2226']
yoaM	2347350	2347385	['ECK4636']
nrdB	2347384	2348514	['ECK2227', 'ftsB']
yfaE	2348514	2348768	['ECK2228']
inaA	2348822	2349472	['ECK2229', 'yfaG']
yfaH	2349687	2349893	['ECK2230']
glpQ	2349935	2351011	['ECK2231']
glpT	2351016	2352374	['ECK2232']
glpA	2352647	2354275	['ECK2233']
glpB	2354265	2355524	['ECK2234', 'psi-51']
glpC	2355521	2356711	['ECK2235']
rpnE	2356904	2357803	['ECK2236', 'yfaD']
ypaA	2357816	2358001	['ECK2237']
yfaU	2358042	2358845	['ECK2238']
yfaV	2358863	2360152	['ECK2239']
rhmD	2360209	2361414	['ECK2240', 'yfaW']
yfaX	2361429	2362211	['ECK2241']
yfaY	2362431	2363633	['ECK2242']
yfaZ	2363733	2364275	['ECK2243']
nudI	2364554	2364979	['ECK2244', 'yfaO']
ais	2365018	2365620	['ECK2245', 'pagH', 'pmrG']
arnB	2365910	2367067	['ECK2246', 'pmrH', 'yfbE']
arnC	2367071	2368039	['ECK2247', 'pmrF', 'yfbF']
arnA	2368039	2370021	['ECK2248', 'pmrI', 'SAF', 'yfbG']
arnD	2370018	2370908	['ECK2249', 'pmrJ', 'yfbH']
arnT	2370908	2372560	['ECK2250', 'pmrK', 'yfbI']
arnE	2372557	2372892	['ECK2251', 'yfbW']
arnF	2372892	2373278	['ECK2252', 'yfbJ']
pmrD	2373272	2373538	['ECK2253']
menE	2373648	2375003	['ECK2254']
menC	2375000	2375962	['ECK2255']
menB	2375962	2376819	['ECK2256']
menH	2376834	2377592	['ECK2257', 'yfbB']
menD	2377589	2379259	['ECK2258']
menF	2379348	2380643	['ECK2259', 'yfbA']
elaB	2380722	2381027	['ECK2260', 'yfbD']
elaA	2381082	2381543	['ECK2261', 'yfbC']
rbn	2381608	2382525	['ECK2262', 'ecoZ', 'elaC', 'rnz', 'zipD']
elaD	2382713	2383924	['ECK2263']
yfbK	2383995	2385722	['ECK2264']
yfbL	2385860	2386831	['ECK2265']
yfbM	2386934	2387437	['ECK2266']
yfbN	2387710	2388426	['ECK2267']
yfbO	2388635	2389057	['ECK2268']
yfbP	2389116	2389964	['ECK2269']
nuoN	2390048	2391505	['ECK2270']
nuoM	2391512	2393041	['ECK2271', 'nuoA']
nuoL	2393205	2395046	['ECK2272']
nuoK	2395043	2395345	['ECK2273']
nuoJ	2395342	2395896	['ECK2274']
nuoI	2395908	2396450	['ECK2275']
nuoH	2396465	2397442	['ECK2276']
nuoG	2397439	2400165	['ECK2277']
nuoF	2400218	2401555	['ECK2278']
nuoE	2401552	2402052	['ECK2279']
nuoC	2402055	2403845	['ECK2280', 'nuoD']
nuoB	2403951	2404613	['ECK2281']
nuoA	2404629	2405072	['ECK2282']
lrhA	2405703	2406641	['ECK2283', 'genR']
alaA	2407561	2408778	['ECK2284', 'yfbQ']
yfbR	2408862	2409461	['ECK2285']
yfbS	2409520	2411352	['ECK2286']
hxpA	2411439	2412089	['ECK2287', 'yfbT']
yfbU	2412100	2412594	['ECK2288']
yfbV	2412677	2413132	['ECK2289']
ackA	2413470	2414672	['ECK2290']
pta	2414747	2416891	['ECK2291']
yfcC	2417081	2418601	['ECK2292']
yfcD	2418634	2419176	['ECK2293']
yfcE	2419234	2419788	['ECK2294']
yfcF	2419841	2420485	['ECK2295']
yfcG	2420621	2421268	['ECK2296']
folX	2421325	2421687	['ECK2297']
yfcH	2421708	2422601	['ECK2298']
rpnB	2422649	2423539	['ECK2299', 'yfcI']
hisP	2423736	2424509	['ECK2300']
hisM	2424517	2425233	['ECK2301']
hisQ	2425230	2425916	['ECK2302']
hisJ	2426006	2426788	['ECK2303']
argT	2427009	2427791	['ECK2304']
ubiX	2428057	2428626	['dedF', 'ECK2305']
purF	2428721	2430238	['ade', 'ECK2306', 'purC']
cvpA	2430275	2430763	['dedE', 'ECK2307']
dedD	2431022	2431684	['ECK2308']
folC	2431674	2432942	['dedC', 'ECK2309']
accD	2433012	2433926	['dedB', 'ECK2310', 'usg']
dedA	2434082	2434741	['ECK2311']
truA	2434824	2435636	['asuC', 'ECK2312', 'hisT', 'leuK']
usg	2435636	2436649	['ECK2313', 'usg-1']
pdxB	2436715	2437851	['ECK2314', 'usg-2']
flk	2437950	2438945	['div', 'ECK2315']
yfcJ	2438942	2440120	['ECK2316']
fabB	2440385	2441605	['ECK2317', 'fabC']
mnmC	2441764	2443770	['ECK2318', 'trmC', 'yfcK']
yfcL	2443891	2444169	['ECK2319']
epmC	2444203	2444751	['ECK2320', 'yfcM']
yfcA	2444751	2445560	['ECK2321']
mepA	2445560	2446384	['ECK2322']
aroC	2446388	2447473	['ECK2323']
prmB	2447508	2448440	['ECK2324', 'yfcB']
smrB	2448606	2449157	['ECK2325', 'yfcN']
yfcO	2449228	2450049	['ECK2326']
yfcP	2450051	2450590	['ECK2327']
yfcQ	2450587	2451075	['ECK2328']
yfcR	2451072	2451584	['ECK2329']
yfcS	2451584	2452336	['ECK2330']
yfcU	2452356	2455001	['b2337', 'b2338', 'ECK2331', 'ECK2332', 'yfcT']
yfcV	2455083	2455646	['ECK2333']
sixA	2456327	2456812	['ECK2334', 'yfcW']
fadJ	2457015	2459159	['ECK2335', 'yfcX']
fadI	2459159	2460469	['ECK2336', 'yfcY']
yfcZ	2460650	2460934	['ECK2337']
fadL	2461306	2462646	['ECK2338', 'ttr']
yfdF	2463012	2464070	['ECK2339']
mlaA	2464252	2465007	['ECK2340', 'vacJ']
yfdC	2465301	2466233	['ECK2341']
argW	2466309	2466383	['ECK2342']
intS	2466545	2467702	['ECK2343', 'intC', 'yfdB']
yfdG	2467855	2468217	['ECK2344', 'gtrA']
yfdH	2468214	2469134	['ECK2345', 'gtrB']
yfdI	2469131	2470462	['ECK2346', 'gtrIV', 'gtrS']
yodE	2470497	2470643	['ECK4637']
tfaS	2470803	2471105	['ECK2347', 'yfdJ']
yfdK	2471077	2471517	['ECK2348']
yfdL	2471544	2472062	['ECK2349']
yfdM	2472112	2472387	['ECK2350', 'yzyB']
yfdN	2472387	2472881	['ECK2351', 'yzyA']
yfdO	2472878	2473246	['ECK2352', 'oweS']
yfdP	2473604	2473966	['ECK2353']
yfdQ	2474032	2474856	['ECK2354']
yfdR	2474984	2475520	['ECK2355']
yfdS	2475511	2475873	['ECK2356']
yfdT	2475873	2476178	['ECK2357']
ypdJ	2476094	2476234	['ECK2358']
torI	2476310	2476510	['ECK2359']
pawZ	2476584	2476598	['ECK4464']
dsdC	2476694	2477629	['ECK2360']
dsdX	2477847	2479184	['dsdC', 'ECK2361', 'yfdA', 'yfdD']
dsdA	2479202	2480530	['ECK2362']
emrY	2480638	2482176	['ECK2363']
emrK	2482176	2483339	['ECK2364']
evgL	2483729	2483758	['ECK4638']
evgA	2483755	2484369	['ECK2365']
evgS	2484374	2487967	['ECK2366']
yfdE	2488023	2489168	['ECK2367']
yfdV	2489242	2490186	['ECK2368']
oxc	2490256	2491950	['ECK2369', 'yfdU']
frc	2492004	2493254	['ECK2370', 'yfdW']
yfdX	2493767	2494402	['ECK2371']
ypdI	2494698	2494973	['ECK2372']
yfdY	2495050	2495292	['ECK2373']
lpxP	2495645	2496565	['ddg', 'ECK2374']
ypdK	2496921	2496992	['ECK4495']
alaC	2497057	2498295	['ECK2375', 'yfdZ']
pyrS	2498671	2500368	['ECK2376', 'ypdA']
pyrR	2500383	2501117	['ECK2377', 'ypdB']
ypdC	2501130	2501987	['ECK2378']
fryA	2501990	2504485	['ECK2379', 'ypdD']
ypdE	2504510	2505547	['ECK2380']
ypdF	2505547	2506632	['ECK2381']
fryC	2506647	2507894	['ECK2382', 'ypdG']
fryB	2507916	2508242	['ECK2383', 'ypdH']
glk	2508461	2509426	['ECK2384']
yfeO	2509630	2510886	['ECK2385']
ypeC	2511001	2511327	['ECK2386']
mntH	2511468	2512706	['ECK2387', 'mntA', 'yfeP']
ypeD	2512687	2512776	['ECK4676']
nupC	2513042	2514244	['cru', 'ECK2388']
insL3	2514331	2515443	['ECK0016', 'yi81-3']
pdeA	2515643	2517832	['ECK2389', 'yfeA']
alaX	2518041	2518116	['alaWbeta', 'ECK2390']
alaW	2518156	2518231	['alaWalpha', 'ECK2391']
yfeC	2518467	2518811	['ECK2392']
yfeD	2518813	2519205	['ECK2393']
gltX	2519257	2520672	['ECK2394', 'gltM', 'gluRS']
valU	2520931	2521006	['ECK2395', 'valUalpha']
valX	2521051	2521126	['ECK2396', 'valU-beta', 'valUbeta']
valY	2521173	2521248	['ECK2397', 'valUgamma']
lysV	2521253	2521328	['ECK2398', 'supN']
xapR	2521593	2522477	['ECK2399', 'pndR', 'pRndR', 'yfeB']
xapB	2522729	2523985	['ECK2400']
xapA	2524045	2524878	['ECK2401', 'pndA']
yfeN	2525127	2525891	['ECK2402']
yfeR	2525930	2526856	['ECK2403']
yfeH	2526946	2527944	['ECK2404']
ypeB	2527941	2528159	['ECK2405']
ligA	2528161	2530176	['dnaL', 'ECK2406', 'lig', 'lop', 'pdeC']
zipA	2530247	2531233	['ECK2407']
cysZ	2531463	2532224	['ECK2408']
cysK	2532409	2533380	['ECK2409', 'ssi5']
ptsH	2533764	2534021	['ctr', 'ECK2410', 'hpr']
ptsI	2534066	2535793	['ctr', 'ECK2411']
crr	2535834	2536343	['ECK2412', 'gsr', 'iex', 'tgs', 'treD']
pdxK	2536386	2537237	['ECK2413', 'pdxL', 'yfeI']
yfeK	2537342	2537716	['ECK2414']
yfeS	2537749	2538483	['ECK2415']
cysM	2538672	2539583	['ECK2416']
cysA	2539717	2540814	['ECK2417']
cysW	2540804	2541679	['ECK2418']
cysU	2541679	2542512	['cysT', 'ECK2419']
cysP	2542512	2543528	['ECK2420']
ucpA	2543832	2544623	['ECK2421', 'yfeF']
murR	2544752	2545609	['ECK2422', 'yfeT']
murQ	2545773	2546669	['ECK2423', 'yfeU']
murP	2546673	2548097	['ECK2424', 'yfeV']
yfeW	2548102	2549406	['ECK2425']
yfeX	2549646	2550545	['ECK2426']
yfeY	2550641	2551216	['ECK2427']
yfeZ	2551277	2551726	['ECK2428']
ypeA	2551713	2552138	['ECK2429']
amiA	2552352	2553221	['ECK2430', 'yfeE']
hemF	2553225	2554124	['ECK2431', 'popB', 'sec']
eutR	2554130	2555182	['ECK2432', 'yfeG']
eutK	2555228	2555728	['ECK2433', 'yffI']
eutL	2555741	2556400	['ECK2434', 'yffJ']
eutC	2556410	2557297	['ECK2435']
eutB	2557318	2558679	['ECK2436']
intZ	2558858	2560066	['ECK2437']
yffL	2560257	2560898	['ECK2438']
yffM	2561368	2561613	['ECK2439']
yffN	2561625	2561993	['ECK2440']
yffO	2562111	2562527	['ECK2441']
yffP	2562524	2563117	['ECK2442']
yffQ	2563592	2563969	['ECK2443']
yffR	2563980	2564372	['ECK2444']
yffS	2564523	2565332	['ECK2445']
eutA	2565481	2566884	['ECK2446', 'yffT']
eutH	2566881	2568107	['ECK2447', 'yffU']
eutG	2568324	2569511	['ECK2448', 'yffV']
eutJ	2569501	2570337	['ECK2449', 'yffW']
eutE	2570348	2571751	['ECK2450', 'yffX']
eutN	2571763	2572050	['cchB', 'ECK2451', 'yffY']
eutM	2572157	2572450	['cchA', 'ECK2452', 'yffZ']
eutD	2572489	2573505	['ECK2453', 'eutI', 'ypfA']
eutT	2573502	2574305	['ECK2454', 'ypfB']
eutQ	2574302	2575003	['ECK2455', 'ypfC']
eutP	2574978	2575457	['ECK2456', 'ypfD']
eutS	2575470	2575805	['ECK2457', 'ypfE']
maeB	2576098	2578377	['ECK2458', 'ypfF']
talA	2578666	2579616	['ECK2459']
tktB	2579636	2581639	['ECK2460']
ypfG	2581734	2582777	['ECK2461']
nudK	2582903	2583478	['ECK2462', 'yffH']
aegA	2583546	2585525	['ECK2463', 'yffG']
narQ	2585731	2587431	['ECK2464']
acrD	2587595	2590708	['ECK2465', 'yffA']
ypfM	2590807	2590866	['ECK4415']
yffB	2591247	2591603	['ECK2466']
dapE	2591607	2592734	['ECK2467', 'msgB']
ypfN	2592762	2592962	['ECK2468']
ypfH	2593072	2593770	['ECK2469']
tmcA	2593844	2595859	['ECK2470', 'ypfI']
ypfJ	2595874	2596737	['ECK2471']
purC	2596905	2597618	['ade', 'ade(g)', 'ECK2472']
bamC	2597831	2598865	['dapX', 'ECK2473', 'nlpB']
dapA	2598882	2599760	['ECK2474']
gcvR	2599906	2600478	['ECK2475', 'yffD']
bcp	2600478	2600948	['ECK2476']
hyfA	2601201	2601818	['ECK2477', 'yffE']
hyfB	2601818	2603836	['ECK2478', 'yffF']
hyfC	2603847	2604794	['ECK2479']
hyfD	2604811	2606250	['ECK2480']
hyfE	2606262	2606912	['ECK2481']
hyfF	2606917	2608497	['ECK2482']
hyfG	2608487	2610154	['ECK2483']
hyfH	2610164	2610709	['ECK2484']
hyfI	2610706	2611464	['ECK2485']
hyfJ	2611457	2611870	['ECK2486']
hyfR	2611900	2613912	['ECK2487']
focB	2613934	2614782	['ECK2488']
yfgO	2614820	2615881	['ECK2489', 'perM']
bepA	2616094	2617557	['ECK2490', 'yfgC']
yfgD	2617578	2617937	['ECK2491']
hda	2618075	2618776	['ECK2492', 'idaB', 'yfgE']
uraA	2618871	2620160	['ECK2493']
upp	2620246	2620872	['ECK2494', 'uraP']
purM	2621197	2622234	['ECK2495', 'purG', 'purI']
purN	2622234	2622872	['ade', 'ade(c)', 'ECK2496']
ppk	2623044	2625110	['ECK2497']
ppx	2625115	2626656	['ECK2498']
pdeF	2626695	2628938	['ECK2499', 'yfgF']
yfgG	2629290	2629481	['ECK2500']
yfgH	2629792	2630310	['ECK2501']
yfgI	2630326	2630865	['ECK2502']
guaA	2630958	2632535	['ECK2503']
guaB	2632604	2634070	['ECK2504', 'guaR']
xseA	2634232	2635602	['ECK2505', 'xse']
yfgJ	2635599	2635814	['ECK2506']
der	2635884	2637356	['ECK2507', 'engA', 'yfgK']
bamB	2637474	2638652	['ECK2508', 'yfgL']
yfgM	2638663	2639283	['ECK2509']
hisS	2639301	2640575	['ECK2510']
sroE	2640595	2640686	['ECK4618', 'k20']
ispG	2640686	2641804	['ECK2511', 'gcpE']
rodZ	2641831	2642844	['ECK2512', 'yfgA']
rlmN	2643129	2644283	['ECK2513', 'yfgB']
ndk	2644433	2644864	['ECK2514']
pbpC	2645013	2647325	['ECK2515', 'yfgN']
yfhM	2647326	2652287	['ECK2516']
sseA	2652494	2653339	['ECK2517', 'mstA']
timR	2653356	2653455	['ECK4668']
ryfA	2653855	2654158	['ECK2518', 'PAIR3b', 'tp1']
timP	2654001	2654126	['ECK4669']
sseB	2654157	2654933	['ECK2519']
pepB	2655075	2656358	['ECK2520', 'yfhI']
iscX	2656536	2656736	['ECK2521', 'yfhJ']
fdx	2656748	2657083	['ECK2522']
hscA	2657085	2658935	['ECK2523', 'hsc']
hscB	2658952	2659467	['ECK2524', 'yfhE']
iscA	2659563	2659886	['ECK2525', 'yfhF']
iscU	2659903	2660289	['ECK2526', 'nifU', 'yfhN']
iscS	2660317	2661531	['ECK2527', 'nuvC', 'yfhO', 'yzzO']
iscR	2661643	2662131	['ECK2528', 'yfhP']
trmJ	2662583	2663323	['ECK2529', 'yfhQ']
suhB	2663442	2664245	['ECK2530', 'ssyA']
yfhR	2664390	2665244	['ECK2531']
csiE	2665435	2666715	['csi-16', 'ECK2532']
hcaT	2666707	2667846	['ECK2533', 'yfhS']
hcaR	2668006	2668896	['ECK2534', 'phdR', 'yfhT']
iroK	2668006	2668071	['ECK4518']
hcaE	2669032	2670393	['digA', 'ECK2535', 'hcaA', 'hcaA1', 'phdC1', 'yfhU']
hcaF	2670390	2670908	['digB', 'ECK2536', 'hcaA', 'hcaA2', 'hcaB', 'phdC2', 'yfhV']
hcaC	2670908	2671228	['ECK2537', 'hcaa3', 'phdB', 'yfhW']
hcaB	2671225	2672037	['ECK2538', 'phdD', 'yfhX']
hcaD	2672047	2673249	['ECK2539', 'hcaa4', 'phdA', 'yfhY']
yphA	2673346	2673768	['ECK2540']
yphB	2673816	2674688	['ECK2541']
yphC	2674700	2675761	['ECK2542']
yphD	2675827	2676825	['ECK2543']
yphE	2676850	2678361	['ECK2544']
yphF	2678384	2679367	['ECK2545']
yphG	2679464	2682745	['ECK2546']
yphH	2682863	2684056	['ECK2547']
glyA	2684254	2685507	['ECK2548']
hmp	2685835	2687025	['ECK2549', 'fsrB', 'hmpA']
glnB	2687070	2687408	['ECK2550']
glrR	2687469	2688803	['ECK2551', 'qseF', 'yfhA']
qseG	2688793	2689506	['ECK2552', 'yfhG']
glrK	2689671	2691098	['ECK2553', 'qseE', 'yfhK', 'yfhZ']
glmY	2691157	2691340	['ECK2554', 'sroF', 'tke1']
purL	2691656	2695543	['ECK2555', 'purI']
mltF	2695801	2697357	['ECK2556', 'yfhD']
tadA	2697354	2697857	['ECK2557', 'yfhC']
pgpC	2697915	2698550	['ECK2558', 'yfhB']
yfhH	2698759	2699607	['ECK2559']
yfhL	2699663	2699923	['ECK2560']
shoB	2700117	2700197	['b4681', 'ECK4502', 'ryfB', 'yphI']
ohsC	2700520	2700598	['ECK4417', 'ryfC']
acpS	2700618	2700998	['dpj', 'ECK2561']
pdxJ	2700998	2701729	['ECK2562']
recO	2701741	2702469	['ECK2563']
era	2702481	2703386	['ECK2564', 'rbaA', 'sdgE']
rnc	2703383	2704063	['ECK2565']
lepB	2704335	2705309	['ECK2566', 'lep']
lepA	2705325	2707124	['ECK2567']
rseC	2707322	2707801	['ECK2568']
rseB	2707798	2708754	['ECK2569']
rseA	2708754	2709404	['ECK2570', 'mclA', 'yfiJ']
rpoE	2709437	2710012	['ECK2571', 'sigE']
rseD	2710009	2710164	['ECK4582']
nadB	2710420	2712042	['ECK2572', 'nic', 'nicB']
yfiC	2712027	2712764	['ECK2573', 'trmM']
srmB	2712896	2714230	['ECK2574', 'rbaB', 'rhlA']
yfiE	2714439	2715320	['ECK2575']
eamB	2715423	2716010	['ECK2576', 'yfiK']
grcA	2716066	2716449	['ECK2577', 'yfiD']
ung	2716754	2717443	['ECK2578']
yfiF	2717491	2718528	['ECK2579']
trxC	2718735	2719154	['ECK2580', 'yfiG']
tapT	2719223	2719921	['ECK2581', 'tuaA', 'yfiP']
patZ	2719953	2722613	['ECK2582', 'pka', 'yfiQ']
pssL	2722702	2722743	['ECK4639']
pssA	2722727	2724082	['ECK2583', 'pss']
yfiM	2724128	2724451	['ECK2584']
kgtP	2724448	2725746	['ECK2585', 'witA']
yfiS	2725925	2725987	['ECK4639']
rrfG	2726069	2726188	['ECK2586']
rrlG	2726281	2729184	['ECK2587']
gltW	2729369	2729444	['ECK2588']
rrsG	2729616	2731157	['ECK2589']
clpB	2731600	2734173	['ECK2590', 'htpM']
ryfD	2734153	2734295	['ECK4418']
yfiH	2734303	2735034	['ECK2591', 'pgeF']
rluD	2735031	2736011	['ECK2592', 'sfhB', 'yfiI']
bamD	2736146	2736883	['ecfD', 'ECK2593', 'yfiO']
raiA	2737154	2737495	['ECK2594', 'pY', 'urf1', 'yfiA']
raiZ	2737381	2737542	['ECK4662']
pheL	2737599	2737646	['ECK2595', 'pheAE']
pheA	2737745	2738905	['ECK2596']
tyrA	2738948	2740069	['ECK2597']
aroF	2740080	2741150	['ECK2598']
yfiL	2741360	2741725	['ECK2599']
yfiR	2741875	2742393	['ECK2600']
dgcN	2742383	2743609	['ECK2601', 'yfiN']
yfiB	2743625	2744107	['ECK2602']
rplS	2744183	2744530	['ECK2603']
trmD	2744572	2745339	['ECK2604']
rimM	2745370	2745918	['ECK2605', 'yfjA']
rpsP	2745937	2746185	['ECK2606']
ffh	2746434	2747795	['ECK2607']
ypjD	2747962	2748753	['ECK2608']
yfjD	2748774	2750060	['b2612', 'b2613', 'ECK2609', 'ypjE']
grpE	2750115	2750708	['ECK2610']
nadK	2750831	2751709	['ECK2611', 'yfjB', 'yfjE']
recN	2751795	2753456	['ECK2612', 'radB']
bamE	2753605	2753946	['ECK2613', 'smpA', 'smqA']
yfjF	2754008	2754298	['ECK2614', 'ratB']
ratA	2754288	2754764	['ECK2615', 'yfjG']
smpB	2754896	2755378	['ECK2616', 'smqB']
ssrA	2755593	2755955	['ECK2617', 'sipB']
intA	2756159	2757400	['ECK2618', 'intX', 'slpA']
yfjH	2757644	2758600	['ECK2619']
alpA	2758644	2758856	['ECK2620']
yfjI	2758985	2760394	['ECK2621']
yfjJ	2760547	2761173	['ECK2622']
abpB	2761351	2763540	['ECK2623', 'yfjK']
abpA	2763537	2765153	['ECK2624', 'yfjL']
yfjM	2765513	2765776	['ECK2625']
rnlA	2765918	2766991	['ECK2626', 'std', 'yfjN']
rnlB	2766984	2767355	['ECK2627', 'yfjO']
yfjP	2767710	2768573	['ECK2628']
yfjQ	2768665	2769486	['ECK2629']
yfjR	2769703	2770404	['ECK2630']
ypjK	2770445	2770681	['ECK2631']
yfjS	2770681	2771124	['ECK2632']
yfjT	2771148	2771615	['ECK2633']
yfjU	2771840	2772154	['ECK2634']
yfjV	2772167	2773182	['b2639', 'b2640', 'ECK2635', 'ECK2636', 'ECK2637', 'ypjL', 'ypjM']
yfjW	2773318	2775021	['ECK2638']
ypjI	2775545	2775816	['ECK4438']
yfjX	2775919	2776377	['ECK2639']
yfjY	2776386	2776868	['ECK2640']
ypjJ	2776877	2777077	['ECK2641']
yfjZ	2777115	2777432	['ECK2642']
ypjF	2777453	2777782	['ECK2643']
psaA	2777972	2777985	['ECK4465']
ypjA	2778146	2782726	['ECK2644']
pinH	2783065	2783304	['ECK2645', 'ypjG']
ypjB	2783638	2784429	['ECK2646']
ypjC	2784529	2785011	['ECK2647']
ileY	2785762	2785837	['ECK2648']
ygaQ	2786397	2788649	['b2654', 'b2655', 'b2656', 'b2657', 'b2658', 'ECK2649', 'G7391', 'G7392', 'G7393', 'ygaR', 'yqaC', 'yqaD']
glaH	2788985	2789962	['csi-12', 'csiD', 'ECK2653', 'ygaT']
lhgD	2789982	2791250	['ECK2654', 'lhgO', 'ygaF']
gabD	2791273	2792721	['ECK2655']
gabT	2792735	2794015	['ECK2656']
gabP	2794253	2795653	['ECK2657']
glaR	2795674	2796336	['csiR', 'ECK2658', 'gabC', 'ygaE']
kbp	2796337	2796786	['ECK2659', 'ygaU', 'yzzM']
yqaE	2796870	2797028	['ECK2660']
ygaV	2797211	2797510	['ECK2661']
ygaP	2797520	2798044	['ECK2662']
stpA	2798091	2798495	['ECK2663', 'hnsB']
alaE	2799164	2799613	['ECK2664', 'ygaW']
ygaC	2799650	2799994	['ECK2665']
ygaM	2800146	2800475	['ECK2666']
nrdH	2800723	2800968	['ECK2667', 'ygaN']
nrdI	2800965	2801375	['ECK2668', 'ygaO']
nrdE	2801348	2803492	['ECK2669']
nrdF	2803502	2804461	['ECK2670', 'ygaD']
proV	2804815	2806017	['ECK2671', 'osrA', 'proU']
proW	2806010	2807074	['ECK2672', 'osrA', 'proU']
proX	2807132	2808124	['ECK2673', 'osrA', 'proU']
ygaY	2808316	2809493	['b2680', 'ECK2674', 'ECK2675', 'ygaX']
ygaZ	2809617	2810354	['ECK2676']
ygaH	2810344	2810679	['ECK2677']
mprA	2810770	2811300	['ECK2678', 'emrR']
emrA	2811427	2812599	['ECK2679']
emrB	2812616	2814154	['ECK2680']
luxS	2814218	2814733	['ECK2681', 'ygaG']
micA	2814802	2814874	['ECK2682', 'psrA10', 'sraD']
gshA	2814883	2816439	['ECK2683', 'gsh-I']
yqaA	2816512	2816940	['ECK2684']
yqaB	2816937	2817503	['ECK2685']
argQ	2817784	2817860	['argVdelta', 'ECK2686']
argZ	2818059	2818135	['argVgamma', 'ECK2687']
argY	2818198	2818274	['argVbeta', 'ECK2688']
argV	2818473	2818549	['argValpha', 'ECK2689']
serV	2818553	2818645	['ECK2690', 'supD']
csrA	2818961	2819146	['ECK2691', 'zfiA']
alaS	2819381	2822011	['act', 'ala-act', 'ECK2692', 'lovB']
recX	2822139	2822639	['ECK2693', 'oraA']
recA	2822708	2823769	['ECK2694', 'lexB', 'recH', 'rnmB', 'srf', 'tif', 'umuB', 'zab']
pncC	2823849	2824346	['ECK2695', 'ygaD']
mltB	2824491	2825576	['ECK2696', 'slt']
srlA	2825832	2826395	['ECK2697', 'gutA', 'sbl', 'srlA-1']
srlE	2826392	2827351	['ECK2698', 'gutA', 'gutE', 'sbl', 'srlA', 'srlA-2']
srlB	2827362	2827733	['ECK2699', 'gutB']
srlD	2827737	2828516	['ECK2700', 'gutD']
gutM	2828621	2828980	['ECK2701', 'gut', 'srlM']
srlR	2829047	2829820	['ECK2702', 'gutR']
gutQ	2829813	2830778	['ECK2703', 'srlQ']
norR	2830775	2832289	['ECK2704', 'ygaA']
norV	2832476	2833915	['ECK2705', 'ygaI', 'ygaJ', 'ygaK']
norW	2833912	2835045	['ECK2706', 'ygaL', 'ygbD']
hypF	2835173	2837425	['ECK2707', 'hydA']
hydN	2837578	2838105	['ECK2708']
ascG	2838254	2839264	['ECK2709', 'sac']
ascF	2839524	2840981	['ECK2710', 'sac']
ascB	2840990	2842414	['ECK2711', 'sac']
hycI	2842573	2843043	['ECK2712']
hycH	2843036	2843446	['ECK2713', 'hevH']
hycG	2843443	2844210	['ECK2714', 'hevG']
hycF	2844210	2844752	['ECK2715', 'hevF']
hycE	2844762	2846471	['ECK2716', 'hevE']
hycD	2846489	2847412	['ECK2717', 'hevD']
hycC	2847415	2849241	['ECK2718', 'hevC']
hycB	2849238	2849849	['ECK2719', 'hevB']
hycA	2849974	2850435	['ECK2720', 'hevA']
hypA	2850647	2850997	['ECK2721']
hypB	2851001	2851873	['ECK2722', 'hydB']
hypC	2851864	2852136	['ECK2723']
hypD	2852136	2853257	['ECK2724', 'hydF']
hypE	2853254	2854264	['ECK2725', 'hydB']
fhlA	2854338	2856416	['ECK2726', 'fhl']
ygbA	2856453	2856806	['ECK2727']
mutS	2857093	2859654	['ant', 'ECK2728', 'fdv', 'plm']
pphB	2859760	2860416	['ECK2729', 'prpB', 'ygbH']
ygbI	2860467	2861234	['ECK2730']
ygbJ	2861430	2862338	['ECK2731']
ygbK	2862335	2863501	['ECK2732']
ygbL	2863593	2864231	['ECK2733']
ygbM	2864236	2865012	['ECK2734']
ygbN	2865101	2866465	['ECK2735']
rpoS	2866559	2867551	['abrD', 'appR', 'csi2', 'dpeB', 'ECK2736', 'katF', 'nur', 'otsX', 'sigS']
nlpD	2867614	2868753	['ECK2737']
pcm	2868893	2869519	['ECK2738']
umpG	2869513	2870274	['ECK2739', 'surE', 'ygbC']
truD	2870255	2871304	['ECK2740', 'ygbO']
ispF	2871301	2871780	['ECK2741', 'ygbB']
ispD	2871780	2872490	['ECK2742', 'ygbP']
ftsB	2872509	2872820	['ECK2743', 'ygbQ']
ygbE	2873014	2873337	['ECK2744']
cysC	2873387	2873992	['ECK2745']
cysN	2873992	2875419	['ECK2746']
cysD	2875421	2876329	['ECK2747']
iap	2876581	2877618	['ECK2748']
cas2	2878569	2878853	['ECK2749', 'ygbF']
cas1	2878855	2879772	['ECK2750', 'ygbT']
casE	2879788	2880387	['cas6e', 'cse3', 'ECK2751', 'ygcH']
casD	2880374	2881048	['cas5e', 'ECK2752', 'ygcI']
